cohort_quarter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2014Q1,615.2710413223141,698.3638148760331,882.1674099173555,1182.3717239669422,1228.269297520661,1347.3632603305784,1485.8511280991736,1741.595068595041,1873.5138041322311,2024.8391595041319,2193.664159504132,2503.3254487603303,2645.4972008264463,2847.637749586777,3038.131121487603,3353.0410818181813
2014Q2,478.0283375,592.5572500000001,835.56441875,903.96598125,1082.2701625,1262.990675,1503.58375125,1670.2318074999998,1900.7235825,2070.86607,2352.797095,2441.2097249999997,2612.9853675,2812.43141125,3159.35165,3159.35165
2014Q3,640.1760950310559,785.7303590062112,894.8718683229814,987.3928372670807,1121.5321167701863,1404.8976260869565,1488.6227689440993,1593.609352795031,1756.6845378881987,2069.89190310559,2132.3248844720497,2325.1006155279506,2606.352839130435,2991.2785223602486,2991.2785223602486,2991.2785223602486
2014Q4,529.3308803921568,641.450377124183,726.9986647058823,933.7236725490196,1123.5071215686276,1244.3938274509803,1386.927291503268,1550.1566869281046,1906.5189810457516,2131.5854189542483,2285.908454901961,2536.7135660130716,2905.3237490196075,2905.3237490196075,2905.3237490196075,2905.3237490196075
2015Q1,550.86925625,738.820396875,893.019084375,1070.819178125,1177.672209375,1192.734709375,1298.67725625,1623.15494375,1925.68101875,2074.03633125,2418.91576875,2787.5315812500003,2787.5315812500003,2787.5315812500003,2787.5315812500003,2787.5315812500003
2015Q2,338.4985555555556,569.5566111111111,797.8706666666667,977.796,1357.6583333333335,1684.3639333333333,1991.7304611111113,2092.6165444444446,2107.442877777778,2318.0069333333336,2827.267905555556,2827.267905555556,2827.267905555556,2827.267905555556,2827.267905555556,2827.267905555556
2015Q3,503.0406388888889,714.4743611111112,809.7089166666667,869.1134444444446,1069.855111111111,1280.312861111111,1374.3891944444445,1701.3702222222223,2147.155777777778,2363.1831111111114,2363.1831111111114,2363.1831111111114,2363.1831111111114,2363.1831111111114,2363.1831111111114,2363.1831111111114
2015Q4,521.183171875,533.880859375,638.062734375,906.973134375,1098.3610093749999,1197.433009375,1213.885821875,1538.863415625,1893.666221875,1893.666221875,1893.666221875,1893.666221875,1893.666221875,1893.666221875,1893.666221875,1893.666221875
2016Q1,350.3237142857143,724.8517142857143,759.5345714285713,954.3934999999999,1260.9705,1717.5440714285712,2107.6115,2393.664914285714,2393.664914285714,2393.664914285714,2393.664914285714,2393.664914285714,2393.664914285714,2393.664914285714,2393.664914285714,2393.664914285714
2016Q2,786.8168181818182,1302.4412272727275,1544.8371363636363,2438.662272727273,2509.6300727272724,2622.032890909091,2880.0667545454544,2880.0667545454544,2880.0667545454544,2880.0667545454544,2880.0667545454544,2880.0667545454544,2880.0667545454544,2880.0667545454544,2880.0667545454544,2880.0667545454544
2016Q3,349.1406666666667,349.1406666666667,571.0671666666667,791.8945,986.8435,1422.5995,1422.5995,1422.5995,1422.5995,1422.5995,1422.5995,1422.5995,1422.5995,1422.5995,1422.5995,1422.5995
2016Q4,595.6500000000001,780.823,808.0063333333333,840.389,1144.6115555555557,1144.6115555555557,1144.6115555555557,1144.6115555555557,1144.6115555555557,1144.6115555555557,1144.6115555555557,1144.6115555555557,1144.6115555555557,1144.6115555555557,1144.6115555555557,1144.6115555555557
2017Q1,161.68333333333337,163.8066666666667,420.07933333333335,645.0366666666667,645.0366666666667,645.0366666666667,645.0366666666667,645.0366666666667,645.0366666666667,645.0366666666667,645.0366666666667,645.0366666666667,645.0366666666667,645.0366666666667,645.0366666666667,645.0366666666667
2017Q2,32.3575,32.3575,65.2855,65.2855,65.2855,65.2855,65.2855,65.2855,65.2855,65.2855,65.2855,65.2855,65.2855,65.2855,65.2855,65.2855
2017Q3,802.776,882.3373333333334,882.3373333333334,882.3373333333334,882.3373333333334,882.3373333333334,882.3373333333334,882.3373333333334,882.3373333333334,882.3373333333334,882.3373333333334,882.3373333333334,882.3373333333334,882.3373333333334,882.3373333333334,882.3373333333334
2017Q4,933.0373333333333,933.0373333333333,933.0373333333333,933.0373333333333,933.0373333333333,933.0373333333333,933.0373333333333,933.0373333333333,933.0373333333333,933.0373333333333,933.0373333333333,933.0373333333333,933.0373333333333,933.0373333333333,933.0373333333333,933.0373333333333
